section,setting,method,family,metric,value,delta_vs_reference,reference,aux_metric,note,source
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_cnn32_plus_temporal_cnn_world_unet_fusion,score fusion,test Dice @ val-selected threshold,0.787268,+0.017820,r128_wrench_temporal_cnn32_unet,,alpha_world=0.55,raw_leaderboards/runs/wrench_world_fusion_20260622/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_cnn32_plus_temporal_cnn_world_curve_unet_fusion,score fusion,test Dice @ val-selected threshold,0.774143,+0.004696,r128_wrench_temporal_cnn32_unet,,alpha_world=0.5,raw_leaderboards/runs/wrench_world_fusion_20260622/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_cnn32_unet,2D baseline,test Dice @ val-selected threshold,0.769447,+0.000000,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_gru32_unet,2D baseline,test Dice @ val-selected threshold,0.767595,-0.001853,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_attention32_unet,2D baseline,test Dice @ val-selected threshold,0.765195,-0.004253,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_cnn_world_unet,action WM direct,test Dice @ val-selected threshold,0.763675,-0.005772,r128_wrench_temporal_cnn32_unet,curve_mse=0.705917,,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_multiscale32_unet,2D baseline,test Dice @ val-selected threshold,0.761481,-0.007966,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_unet_aug_focal,2D baseline,test Dice @ val-selected threshold,0.758670,-0.010777,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_cnn_world_curve_unet,action WM direct,test Dice @ val-selected threshold,0.745888,-0.023559,r128_wrench_temporal_cnn32_unet,curve_mse=0.110572,,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_vit_unet,ViT direct,test Dice @ val-selected threshold,0.738122,-0.031326,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/wrench_world_model_sweep_20260622/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_unet,2D baseline,test Dice @ val-selected threshold,0.736724,-0.032724,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_lejepa_vit_unet_m50,JEPA/VISReg direct,test Dice @ val-selected threshold,0.733767,-0.035681,r128_wrench_temporal_cnn32_unet,latent_mse=0.075352,,raw_leaderboards/WM/runs/jepa_visreg_core_20260701/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_visreg_vit_unet_m50,JEPA/VISReg direct,test Dice @ val-selected threshold,0.726168,-0.043279,r128_wrench_temporal_cnn32_unet,latent_mse=0.075865,,raw_leaderboards/WM/runs/jepa_visreg_core_20260701/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_jepa_vit_unet_m50,JEPA/VISReg direct,test Dice @ val-selected threshold,0.722743,-0.046705,r128_wrench_temporal_cnn32_unet,latent_mse=0.006915,,raw_leaderboards/WM/runs/jepa_visreg_core_20260701/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_cnn16_unet,2D baseline,test Dice @ val-selected threshold,0.718338,-0.051110,r128_wrench_temporal_cnn32_unet,,,raw_leaderboards/runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_temporal_cnn_sparse_unet,no-world sparse-trained,test Dice @ val-selected threshold,0.697361,-0.072086,r128_wrench_temporal_cnn32_unet,curve_mse=0.513876,trained with sparse context; no WM pretrain,raw_leaderboards/WM/runs/sparse_baseline_core_20260701/leaderboard.csv
full_context_2d,20x20 full scan; 128x128 scan-area GT,r128_wrench_world_with_curve_decoder,early sparse WM pilot,test Dice @ val-selected threshold,0.519426,-0.250022,r128_wrench_temporal_cnn32_unet,curve_mse=0.077129,,raw_leaderboards/runs/wrench_world_model_sparse_context_20260622/leaderboard.csv
sparse_context_fixed_threshold,observed scan ratio=0.10; fixed mask threshold=0.5,r128_wrench_temporal_cnn_sparse_unet,sparse context,test Dice @ fixed threshold 0.5,0.555118,,r128_wrench_temporal_cnn_sparse_unet at same ratio,,no-world baseline,raw_leaderboards/WM/runs/sparse_baseline_core_20260701/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.25; fixed mask threshold=0.5,r128_wrench_temporal_cnn_sparse_unet,sparse context,test Dice @ fixed threshold 0.5,0.648360,,r128_wrench_temporal_cnn_sparse_unet at same ratio,,no-world baseline,raw_leaderboards/WM/runs/sparse_baseline_core_20260701/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.25; fixed mask threshold=0.5,r128_wrench_temporal_cnn_world_curve_unet,sparse context,test Dice @ fixed threshold 0.5,0.664635,+0.016276,r128_wrench_temporal_cnn_sparse_unet at same ratio,,action-conditioned WM,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.25; fixed mask threshold=0.5,r128_wrench_temporal_cnn_world_unet,sparse context,test Dice @ fixed threshold 0.5,0.653095,+0.004735,r128_wrench_temporal_cnn_sparse_unet at same ratio,,action-conditioned WM,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.50; fixed mask threshold=0.5,r128_wrench_temporal_cnn_sparse_unet,sparse context,test Dice @ fixed threshold 0.5,0.683289,,r128_wrench_temporal_cnn_sparse_unet at same ratio,,no-world baseline,raw_leaderboards/WM/runs/sparse_baseline_core_20260701/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.50; fixed mask threshold=0.5,r128_wrench_temporal_cnn_world_curve_unet,sparse context,test Dice @ fixed threshold 0.5,0.733619,+0.050330,r128_wrench_temporal_cnn_sparse_unet at same ratio,,action-conditioned WM,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.50; fixed mask threshold=0.5,r128_wrench_temporal_cnn_world_unet,sparse context,test Dice @ fixed threshold 0.5,0.736903,+0.053615,r128_wrench_temporal_cnn_sparse_unet at same ratio,,action-conditioned WM,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.75; fixed mask threshold=0.5,r128_wrench_temporal_cnn_sparse_unet,sparse context,test Dice @ fixed threshold 0.5,0.694862,,r128_wrench_temporal_cnn_sparse_unet at same ratio,,no-world baseline,raw_leaderboards/WM/runs/sparse_baseline_core_20260701/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.75; fixed mask threshold=0.5,r128_wrench_temporal_cnn_world_curve_unet,sparse context,test Dice @ fixed threshold 0.5,0.745727,+0.050865,r128_wrench_temporal_cnn_sparse_unet at same ratio,,action-conditioned WM,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/world_model_metrics.csv
sparse_context_fixed_threshold,observed scan ratio=0.75; fixed mask threshold=0.5,r128_wrench_temporal_cnn_world_unet,sparse context,test Dice @ fixed threshold 0.5,0.754124,+0.059262,r128_wrench_temporal_cnn_sparse_unet at same ratio,,action-conditioned WM,raw_leaderboards/runs/wrench_temporal_cnn_world_20260622/world_model_metrics.csv
sparse_context_repeated,observed scan ratio=0.25; 5 random sparse-mask seeds,sparse_unet,sparse repeated eval,mean test Dice @ val-selected threshold,0.649042,,sparse_unet at same ratio,,5 sparse-mask seeds; no-world baseline,sparse_context_repeats/sparse_context_repeated_metrics.csv
sparse_context_repeated,observed scan ratio=0.25; 5 random sparse-mask seeds,world_curve_unet,sparse repeated eval,mean test Dice @ val-selected threshold,0.662056,0.013014,sparse_unet at same ratio,"sample_delta_mean=0.009708; sample_95ci=[0.004467, 0.015141]",5 sparse-mask seeds; validation-selected threshold per seed,sparse_context_repeats/sparse_context_repeated_metrics.csv
