pattern,ratio,seed,area_bin,method,mean_sample_dice,delta_vs_sparse_unet,num_samples
local_block,0.1,20260701,large,sparse_unet,0.28509269817240074,,130
local_block,0.1,20260701,large,world_curve_unet,0.3062238473745444,0.02113114920214365,130
local_block,0.1,20260701,large,world_unet,0.2599772983000218,-0.02511539987237893,130
local_block,0.1,20260701,medium,sparse_unet,0.2034938448491449,,130
local_block,0.1,20260701,medium,world_curve_unet,0.2878792716662355,0.0843854268170906,130
local_block,0.1,20260701,medium,world_unet,0.23864497004727991,0.035151125198135014,130
local_block,0.1,20260701,small,sparse_unet,0.11224049161138579,,140
local_block,0.1,20260701,small,world_curve_unet,0.1722557787446653,0.06001528713327951,140
local_block,0.1,20260701,small,world_unet,0.15266382027626607,0.040423328664880284,140
local_block,0.1,20260702,large,sparse_unet,0.27597474414816964,,130
local_block,0.1,20260702,large,world_curve_unet,0.34135341541711695,0.06537867126894731,130
local_block,0.1,20260702,large,world_unet,0.2980999395862622,0.02212519543809255,130
local_block,0.1,20260702,medium,sparse_unet,0.2007885868981843,,130
local_block,0.1,20260702,medium,world_curve_unet,0.29719086958678326,0.09640228268859896,130
local_block,0.1,20260702,medium,world_unet,0.23543015409359822,0.03464156719541392,130
local_block,0.1,20260702,small,sparse_unet,0.1187676690287648,,140
local_block,0.1,20260702,small,world_curve_unet,0.17844051499964347,0.05967284597087867,140
local_block,0.1,20260702,small,world_unet,0.16701148168908478,0.048243812660319976,140
local_block,0.1,20260703,large,sparse_unet,0.28878131425522025,,130
local_block,0.1,20260703,large,world_curve_unet,0.3222029220049463,0.03342160774972608,130
local_block,0.1,20260703,large,world_unet,0.3008813705257775,0.012100056270557269,130
local_block,0.1,20260703,medium,sparse_unet,0.20072237987813413,,130
local_block,0.1,20260703,medium,world_curve_unet,0.281536563490473,0.08081418361233889,130
local_block,0.1,20260703,medium,world_unet,0.24062991164294628,0.039907531764812154,130
local_block,0.1,20260703,small,sparse_unet,0.10945635038405666,,140
local_block,0.1,20260703,small,world_curve_unet,0.15896446076342288,0.04950811037936623,140
local_block,0.1,20260703,small,world_unet,0.13564645214228505,0.02619010175822839,140
local_block,0.25,20260701,large,sparse_unet,0.38200421375357846,,130
local_block,0.25,20260701,large,world_curve_unet,0.4389548495007236,0.05695063574714515,130
local_block,0.25,20260701,large,world_unet,0.4789557588763837,0.09695154512280524,130
local_block,0.25,20260701,medium,sparse_unet,0.26300059908344897,,130
local_block,0.25,20260701,medium,world_curve_unet,0.41644974472085333,0.15344914563740436,130
local_block,0.25,20260701,medium,world_unet,0.3895537131108525,0.12655311402740355,130
local_block,0.25,20260701,small,sparse_unet,0.1403319848048034,,140
local_block,0.25,20260701,small,world_curve_unet,0.298083766278193,0.15775178147338959,140
local_block,0.25,20260701,small,world_unet,0.2916246105684206,0.15129262576361718,140
local_block,0.25,20260702,large,sparse_unet,0.36187740356710935,,130
local_block,0.25,20260702,large,world_curve_unet,0.4542160887857792,0.09233868521866984,130
local_block,0.25,20260702,large,world_unet,0.4916677132524674,0.12979030968535804,130
local_block,0.25,20260702,medium,sparse_unet,0.2649875332030382,,130
local_block,0.25,20260702,medium,world_curve_unet,0.42415462690453626,0.15916709370149806,130
local_block,0.25,20260702,medium,world_unet,0.40699181255023303,0.14200427934719484,130
local_block,0.25,20260702,small,sparse_unet,0.15403892869752228,,140
local_block,0.25,20260702,small,world_curve_unet,0.2892435240044572,0.1352045953069349,140
local_block,0.25,20260702,small,world_unet,0.30226932214897967,0.1482303934514574,140
local_block,0.25,20260703,large,sparse_unet,0.3892240077818873,,130
local_block,0.25,20260703,large,world_curve_unet,0.44000978636018495,0.050785778578297636,130
local_block,0.25,20260703,large,world_unet,0.47847166944921077,0.08924766166732345,130
local_block,0.25,20260703,medium,sparse_unet,0.2562764497149848,,130
local_block,0.25,20260703,medium,world_curve_unet,0.43113814266444905,0.17486169294946424,130
local_block,0.25,20260703,medium,world_unet,0.42490225958147754,0.16862580986649273,130
local_block,0.25,20260703,small,sparse_unet,0.1386075637361205,,140
local_block,0.25,20260703,small,world_curve_unet,0.3049218700692759,0.16631430633315542,140
local_block,0.25,20260703,small,world_unet,0.28483925566215057,0.14623169192603008,140
local_block,0.5,20260701,large,sparse_unet,0.4637487919234082,,130
local_block,0.5,20260701,large,world_curve_unet,0.639736873171249,0.17598808124784088,130
local_block,0.5,20260701,large,world_unet,0.7006449582793981,0.23689616635598992,130
local_block,0.5,20260701,medium,sparse_unet,0.42579243876061723,,130
local_block,0.5,20260701,medium,world_curve_unet,0.6389395573896444,0.21314711862902713,130
local_block,0.5,20260701,medium,world_unet,0.6365064759420361,0.2107140371814189,130
local_block,0.5,20260701,small,sparse_unet,0.3177424278058476,,140
local_block,0.5,20260701,small,world_curve_unet,0.5910152578201852,0.27327283001433755,140
local_block,0.5,20260701,small,world_unet,0.5608508012248333,0.24310837341898572,140
local_block,0.5,20260702,large,sparse_unet,0.451859557809197,,130
local_block,0.5,20260702,large,world_curve_unet,0.6512903947363493,0.1994308369271523,130
local_block,0.5,20260702,large,world_unet,0.7226311099321371,0.2707715521229401,130
local_block,0.5,20260702,medium,sparse_unet,0.4089404663755793,,130
local_block,0.5,20260702,medium,world_curve_unet,0.638320103522866,0.22937963714728665,130
local_block,0.5,20260702,medium,world_unet,0.6395502131860058,0.2306097468104265,130
local_block,0.5,20260702,small,sparse_unet,0.30365081485165696,,140
local_block,0.5,20260702,small,world_curve_unet,0.5816189024847341,0.2779680876330772,140
local_block,0.5,20260702,small,world_unet,0.5476313510354135,0.24398053618375654,140
local_block,0.5,20260703,large,sparse_unet,0.4617715658277884,,130
local_block,0.5,20260703,large,world_curve_unet,0.6544296940849417,0.19265812825715328,130
local_block,0.5,20260703,large,world_unet,0.7223294206925606,0.2605578548647722,130
local_block,0.5,20260703,medium,sparse_unet,0.4441549015450806,,130
local_block,0.5,20260703,medium,world_curve_unet,0.6348364860628817,0.1906815845178011,130
local_block,0.5,20260703,medium,world_unet,0.6466775850511906,0.20252268350610997,130
local_block,0.5,20260703,small,sparse_unet,0.30091486098958975,,140
local_block,0.5,20260703,small,world_curve_unet,0.5697256293387231,0.2688107683491333,140
local_block,0.5,20260703,small,world_unet,0.5547378026357612,0.2538229416461715,140
local_block,0.75,20260701,large,sparse_unet,0.6464752362125691,,130
local_block,0.75,20260701,large,world_curve_unet,0.7039905523536323,0.0575153161410632,130
local_block,0.75,20260701,large,world_unet,0.7844584573626132,0.13798322115004413,130
local_block,0.75,20260701,medium,sparse_unet,0.6533826827746225,,130
local_block,0.75,20260701,medium,world_curve_unet,0.7040018568944028,0.05061917411978023,130
local_block,0.75,20260701,medium,world_unet,0.729088074860601,0.07570539208597848,130
local_block,0.75,20260701,small,sparse_unet,0.6331112554827943,,140
local_block,0.75,20260701,small,world_curve_unet,0.7180288220166094,0.0849175665338151,140
local_block,0.75,20260701,small,world_unet,0.6895832754532497,0.05647201997045537,140
local_block,0.75,20260702,large,sparse_unet,0.635929309032391,,130
local_block,0.75,20260702,large,world_curve_unet,0.7095768960990678,0.07364758706667685,130
local_block,0.75,20260702,large,world_unet,0.7924867846090594,0.15655747557666844,130
local_block,0.75,20260702,medium,sparse_unet,0.6521651672247112,,130
local_block,0.75,20260702,medium,world_curve_unet,0.7020685090488354,0.04990334182412426,130
local_block,0.75,20260702,medium,world_unet,0.7320352200608631,0.0798700528361519,130
local_block,0.75,20260702,small,sparse_unet,0.6286702221791176,,140
local_block,0.75,20260702,small,world_curve_unet,0.7176495287918652,0.08897930661274756,140
local_block,0.75,20260702,small,world_unet,0.678052535028425,0.049382312849307386,140
local_block,0.75,20260703,large,sparse_unet,0.6385307010915431,,130
local_block,0.75,20260703,large,world_curve_unet,0.7106786419310601,0.07214794083951703,130
local_block,0.75,20260703,large,world_unet,0.7901508945659724,0.15162019347442934,130
local_block,0.75,20260703,medium,sparse_unet,0.6626227129818154,,130
local_block,0.75,20260703,medium,world_curve_unet,0.7026239882400439,0.0400012752582285,130
local_block,0.75,20260703,medium,world_unet,0.7337553026506336,0.07113258966881819,130
local_block,0.75,20260703,small,sparse_unet,0.6151635108506834,,140
local_block,0.75,20260703,small,world_curve_unet,0.6976948876108622,0.08253137676017874,140
local_block,0.75,20260703,small,world_unet,0.6657710706433223,0.05060755979263887,140
local_block,0.9,20260701,large,sparse_unet,0.6886376826620368,,130
local_block,0.9,20260701,large,world_curve_unet,0.7208270339199973,0.03218935125796041,130
local_block,0.9,20260701,large,world_unet,0.8034704518099552,0.1148327691479184,130
local_block,0.9,20260701,medium,sparse_unet,0.7149538396871779,,130
local_block,0.9,20260701,medium,world_curve_unet,0.7127366604023408,-0.002217179284837001,130
local_block,0.9,20260701,medium,world_unet,0.7425848469071608,0.027631007219982906,130
local_block,0.9,20260701,small,sparse_unet,0.7357223256043728,,140
local_block,0.9,20260701,small,world_curve_unet,0.7462885712511454,0.010566245646772665,140
local_block,0.9,20260701,small,world_unet,0.7203642914212502,-0.015358034183122538,140
local_block,0.9,20260702,large,sparse_unet,0.6859865119107276,,130
local_block,0.9,20260702,large,world_curve_unet,0.7230405527076941,0.0370540407969665,130
local_block,0.9,20260702,large,world_unet,0.8045945003545403,0.1186079884438127,130
local_block,0.9,20260702,medium,sparse_unet,0.7155806730177616,,130
local_block,0.9,20260702,medium,world_curve_unet,0.7114831941253512,-0.004097478892410411,130
local_block,0.9,20260702,medium,world_unet,0.7432760165651247,0.027695343547363027,130
local_block,0.9,20260702,small,sparse_unet,0.7354141664951533,,140
local_block,0.9,20260702,small,world_curve_unet,0.745773397889911,0.010359231394757695,140
local_block,0.9,20260702,small,world_unet,0.7197439741773536,-0.015670192317799758,140
local_block,0.9,20260703,large,sparse_unet,0.6868709656004623,,130
local_block,0.9,20260703,large,world_curve_unet,0.7223357627384369,0.03546479713797457,130
local_block,0.9,20260703,large,world_unet,0.804957215260408,0.11808624965994563,130
local_block,0.9,20260703,medium,sparse_unet,0.7159883675269638,,130
local_block,0.9,20260703,medium,world_curve_unet,0.7113368195246429,-0.004651548002320927,130
local_block,0.9,20260703,medium,world_unet,0.7431291380967819,0.027140770569818118,130
local_block,0.9,20260703,small,sparse_unet,0.7360791911727856,,140
local_block,0.9,20260703,small,world_curve_unet,0.7460769791563608,0.009997787983575201,140
local_block,0.9,20260703,small,world_unet,0.7214395713058048,-0.014639619866980813,140
missing_block,0.1,20260701,large,sparse_unet,0.19446122272200145,,130
missing_block,0.1,20260701,large,world_curve_unet,0.16743530862077824,-0.02702591410122321,130
missing_block,0.1,20260701,large,world_unet,0.11503032821827619,-0.07943089450372526,130
missing_block,0.1,20260701,medium,sparse_unet,0.14888510009101802,,130
missing_block,0.1,20260701,medium,world_curve_unet,0.1866942327342703,0.03780913264325228,130
missing_block,0.1,20260701,medium,world_unet,0.1378101043480505,-0.011074995742967525,130
missing_block,0.1,20260701,small,sparse_unet,0.12444974987263363,,140
missing_block,0.1,20260701,small,world_curve_unet,0.16818387379536676,0.043734123922733126,140
missing_block,0.1,20260701,small,world_unet,0.1457980837951438,0.021348333922510176,140
missing_block,0.1,20260702,large,sparse_unet,0.2013711328710317,,130
missing_block,0.1,20260702,large,world_curve_unet,0.15584020338771673,-0.04553092948331497,130
missing_block,0.1,20260702,large,world_unet,0.12437068205030428,-0.07700045082072741,130
missing_block,0.1,20260702,medium,sparse_unet,0.13298588643572995,,130
missing_block,0.1,20260702,medium,world_curve_unet,0.17236387455688754,0.03937798812115759,130
missing_block,0.1,20260702,medium,world_unet,0.1456559978294582,0.012670111393728256,130
missing_block,0.1,20260702,small,sparse_unet,0.1263865748022648,,140
missing_block,0.1,20260702,small,world_curve_unet,0.15352757205568948,0.02714099725342467,140
missing_block,0.1,20260702,small,world_unet,0.15150284348845494,0.02511626868619013,140
missing_block,0.1,20260703,large,sparse_unet,0.20408397082505725,,130
missing_block,0.1,20260703,large,world_curve_unet,0.17634446231088793,-0.027739508514169314,130
missing_block,0.1,20260703,large,world_unet,0.12019806155361948,-0.08388590927143777,130
missing_block,0.1,20260703,medium,sparse_unet,0.14763826974179714,,130
missing_block,0.1,20260703,medium,world_curve_unet,0.18573282039974498,0.03809455065794784,130
missing_block,0.1,20260703,medium,world_unet,0.13701612069663413,-0.01062214904516301,130
missing_block,0.1,20260703,small,sparse_unet,0.13037297136292958,,140
missing_block,0.1,20260703,small,world_curve_unet,0.17737921631561704,0.04700624495268746,140
missing_block,0.1,20260703,small,world_unet,0.16246300334512667,0.03209003198219709,140
missing_block,0.25,20260701,large,sparse_unet,0.37938837454166563,,130
missing_block,0.25,20260701,large,world_curve_unet,0.4415381276767118,0.06214975313504617,130
missing_block,0.25,20260701,large,world_unet,0.3033432500042378,-0.07604512453742784,130
missing_block,0.25,20260701,medium,sparse_unet,0.2896667424787376,,130
missing_block,0.25,20260701,medium,world_curve_unet,0.43195833530633826,0.14229159282760068,130
missing_block,0.25,20260701,medium,world_unet,0.34176685118907124,0.05210010871033366,130
missing_block,0.25,20260701,small,sparse_unet,0.1488754516821705,,140
missing_block,0.25,20260701,small,world_curve_unet,0.37168295536374546,0.22280750368157495,140
missing_block,0.25,20260701,small,world_unet,0.36095933227023896,0.21208388058806846,140
missing_block,0.25,20260702,large,sparse_unet,0.36843891720559485,,130
missing_block,0.25,20260702,large,world_curve_unet,0.4170441398590622,0.04860522265346734,130
missing_block,0.25,20260702,large,world_unet,0.29911994798202285,-0.069318969223572,130
missing_block,0.25,20260702,medium,sparse_unet,0.2833563474932623,,130
missing_block,0.25,20260702,medium,world_curve_unet,0.42636291396499576,0.1430065664717335,130
missing_block,0.25,20260702,medium,world_unet,0.33054518073532735,0.047188833242065076,130
missing_block,0.25,20260702,small,sparse_unet,0.15442136518038488,,140
missing_block,0.25,20260702,small,world_curve_unet,0.3715399720539679,0.217118606873583,140
missing_block,0.25,20260702,small,world_unet,0.38853843723771,0.2341170720573251,140
missing_block,0.25,20260703,large,sparse_unet,0.36218088484138916,,130
missing_block,0.25,20260703,large,world_curve_unet,0.427979103728239,0.06579821888684984,130
missing_block,0.25,20260703,large,world_unet,0.30283205656869094,-0.05934882827269822,130
missing_block,0.25,20260703,medium,sparse_unet,0.2892532007909356,,130
missing_block,0.25,20260703,medium,world_curve_unet,0.4177241808928057,0.12847098010187014,130
missing_block,0.25,20260703,medium,world_unet,0.32565544253242085,0.036402241741485264,130
missing_block,0.25,20260703,small,sparse_unet,0.1579710384116787,,140
missing_block,0.25,20260703,small,world_curve_unet,0.3654771052548464,0.2075060668431677,140
missing_block,0.25,20260703,small,world_unet,0.35284637903442917,0.19487534062275047,140
missing_block,0.5,20260701,large,sparse_unet,0.4618807065806926,,130
missing_block,0.5,20260701,large,world_curve_unet,0.6034043621572638,0.1415236555765712,130
missing_block,0.5,20260701,large,world_unet,0.5345129201166489,0.07263221353595628,130
missing_block,0.5,20260701,medium,sparse_unet,0.3942412281401386,,130
missing_block,0.5,20260701,medium,world_curve_unet,0.6051861293636781,0.21094490122353948,130
missing_block,0.5,20260701,medium,world_unet,0.5263534403042563,0.13211221216411773,130
missing_block,0.5,20260701,small,sparse_unet,0.2504870644668006,,140
missing_block,0.5,20260701,small,world_curve_unet,0.6200231880323017,0.36953612356550114,140
missing_block,0.5,20260701,small,world_unet,0.5524486473257336,0.30196158285893304,140
missing_block,0.5,20260702,large,sparse_unet,0.47708127398306666,,130
missing_block,0.5,20260702,large,world_curve_unet,0.5964074780364701,0.11932620405340344,130
missing_block,0.5,20260702,large,world_unet,0.5049989027124038,0.02791762872933712,130
missing_block,0.5,20260702,medium,sparse_unet,0.4028955300147815,,130
missing_block,0.5,20260702,medium,world_curve_unet,0.6103903620561463,0.20749483204136476,130
missing_block,0.5,20260702,medium,world_unet,0.5365579332743806,0.1336624032595991,130
missing_block,0.5,20260702,small,sparse_unet,0.24045849464236327,,140
missing_block,0.5,20260702,small,world_curve_unet,0.5862704029833794,0.34581190834101616,140
missing_block,0.5,20260702,small,world_unet,0.5377789515535747,0.29732045691121145,140
missing_block,0.5,20260703,large,sparse_unet,0.47820348500810994,,130
missing_block,0.5,20260703,large,world_curve_unet,0.5804600737798722,0.10225658877176225,130
missing_block,0.5,20260703,large,world_unet,0.5175186108441862,0.039315125836076215,130
missing_block,0.5,20260703,medium,sparse_unet,0.40619133914211936,,130
missing_block,0.5,20260703,medium,world_curve_unet,0.6065213257927977,0.20032998665067836,130
missing_block,0.5,20260703,medium,world_unet,0.5349041001201835,0.12871276097806417,130
missing_block,0.5,20260703,small,sparse_unet,0.23734792300528998,,140
missing_block,0.5,20260703,small,world_curve_unet,0.6148662756259704,0.37751835262068045,140
missing_block,0.5,20260703,small,world_unet,0.5366394850431148,0.2992915620378248,140
missing_block,0.75,20260701,large,sparse_unet,0.5399029671739046,,130
missing_block,0.75,20260701,large,world_curve_unet,0.6560148967703616,0.116111929596457,130
missing_block,0.75,20260701,large,world_unet,0.6572018027255635,0.11729883555165888,130
missing_block,0.75,20260701,medium,sparse_unet,0.45312742920106175,,130
missing_block,0.75,20260701,medium,world_curve_unet,0.6255054852246461,0.17237805602358436,130
missing_block,0.75,20260701,medium,world_unet,0.6182955467177564,0.1651681175166947,130
missing_block,0.75,20260701,small,sparse_unet,0.2851786047948292,,140
missing_block,0.75,20260701,small,world_curve_unet,0.660752558622327,0.37557395382749775,140
missing_block,0.75,20260701,small,world_unet,0.6248036877338846,0.3396250829390554,140
missing_block,0.75,20260702,large,sparse_unet,0.5653604404585767,,130
missing_block,0.75,20260702,large,world_curve_unet,0.6397745368607874,0.07441409640221075,130
missing_block,0.75,20260702,large,world_unet,0.6363495439584709,0.07098910349989418,130
missing_block,0.75,20260702,medium,sparse_unet,0.46430190805778593,,130
missing_block,0.75,20260702,medium,world_curve_unet,0.6208522241318887,0.15655031607410275,130
missing_block,0.75,20260702,medium,world_unet,0.6062384591443845,0.14193655108659853,130
missing_block,0.75,20260702,small,sparse_unet,0.296153373676043,,140
missing_block,0.75,20260702,small,world_curve_unet,0.6462243419930969,0.35007096831705387,140
missing_block,0.75,20260702,small,world_unet,0.6049275468166226,0.30877417314057964,140
missing_block,0.75,20260703,large,sparse_unet,0.5581467044187941,,130
missing_block,0.75,20260703,large,world_curve_unet,0.6467124385811038,0.08856573416230973,130
missing_block,0.75,20260703,large,world_unet,0.6287720477083936,0.07062534328959946,130
missing_block,0.75,20260703,medium,sparse_unet,0.45550962249490645,,130
missing_block,0.75,20260703,medium,world_curve_unet,0.6391400365239323,0.1836304140290258,130
missing_block,0.75,20260703,medium,world_unet,0.624055054618782,0.16854543212387552,130
missing_block,0.75,20260703,small,sparse_unet,0.28520804266543975,,140
missing_block,0.75,20260703,small,world_curve_unet,0.6761044103550609,0.3908963676896211,140
missing_block,0.75,20260703,small,world_unet,0.6429663374033228,0.357758294737883,140
missing_block,0.9,20260701,large,sparse_unet,0.6376299277496293,,130
missing_block,0.9,20260701,large,world_curve_unet,0.7118498789891934,0.07421995123956404,130
missing_block,0.9,20260701,large,world_unet,0.7770660112987837,0.13943608354915438,130
missing_block,0.9,20260701,medium,sparse_unet,0.626306822264933,,130
missing_block,0.9,20260701,medium,world_curve_unet,0.6956063434022326,0.06929952113729965,130
missing_block,0.9,20260701,medium,world_unet,0.716696519306855,0.09038969704192201,130
missing_block,0.9,20260701,small,sparse_unet,0.5181284755130361,,140
missing_block,0.9,20260701,small,world_curve_unet,0.7346804820169949,0.21655200650395878,140
missing_block,0.9,20260701,small,world_unet,0.7021988049465604,0.1840703294335243,140
missing_block,0.9,20260702,large,sparse_unet,0.650833032432725,,130
missing_block,0.9,20260702,large,world_curve_unet,0.695988035919553,0.045155003486828105,130
missing_block,0.9,20260702,large,world_unet,0.749227806853955,0.09839477442123001,130
missing_block,0.9,20260702,medium,sparse_unet,0.6327760405168504,,130
missing_block,0.9,20260702,medium,world_curve_unet,0.6964508060204445,0.06367476550359408,130
missing_block,0.9,20260702,medium,world_unet,0.7111979889686091,0.07842194845175865,130
missing_block,0.9,20260702,small,sparse_unet,0.5236568975860326,,140
missing_block,0.9,20260702,small,world_curve_unet,0.7336948094931469,0.2100379119071143,140
missing_block,0.9,20260702,small,world_unet,0.7055005835956132,0.18184368600958056,140
missing_block,0.9,20260703,large,sparse_unet,0.6433589769095558,,130
missing_block,0.9,20260703,large,world_curve_unet,0.7032669694621733,0.05990799255261747,130
missing_block,0.9,20260703,large,world_unet,0.77118355021421,0.12782457330465424,130
missing_block,0.9,20260703,medium,sparse_unet,0.6206106016599033,,130
missing_block,0.9,20260703,medium,world_curve_unet,0.7058350369262966,0.08522443526639323,130
missing_block,0.9,20260703,medium,world_unet,0.7289147574149014,0.10830415575499808,130
missing_block,0.9,20260703,small,sparse_unet,0.5131511369753753,,140
missing_block,0.9,20260703,small,world_curve_unet,0.7370578328328389,0.2239066958574636,140
missing_block,0.9,20260703,small,world_unet,0.710939605346104,0.19778846837072872,140
random,0.1,20260701,large,sparse_unet,0.49861812641039677,,130
random,0.1,20260701,large,world_curve_unet,0.5805868993974829,0.0819687729870861,130
random,0.1,20260701,large,world_unet,0.5812542156191592,0.08263608920876248,130
random,0.1,20260701,medium,sparse_unet,0.49323126066684236,,130
random,0.1,20260701,medium,world_curve_unet,0.574356075144195,0.08112481447735259,130
random,0.1,20260701,medium,world_unet,0.5596721919374293,0.06644093127058698,130
random,0.1,20260701,small,sparse_unet,0.32400230109003864,,140
random,0.1,20260701,small,world_curve_unet,0.5223436146063912,0.1983413135163526,140
random,0.1,20260701,small,world_unet,0.49227817522628853,0.1682758741362499,140
random,0.1,20260702,large,sparse_unet,0.4922611822165274,,130
random,0.1,20260702,large,world_curve_unet,0.5588362774803036,0.0665750952637762,130
random,0.1,20260702,large,world_unet,0.5501852121018211,0.057924029885293715,130
random,0.1,20260702,medium,sparse_unet,0.49275959563220817,,130
random,0.1,20260702,medium,world_curve_unet,0.5923308859980132,0.09957129036580503,130
random,0.1,20260702,medium,world_unet,0.5862564542752914,0.09349685864308321,130
random,0.1,20260702,small,sparse_unet,0.3213989306558779,,140
random,0.1,20260702,small,world_curve_unet,0.5346467131619296,0.2132477825060517,140
random,0.1,20260702,small,world_unet,0.4909795380485027,0.16958060739262482,140
random,0.1,20260703,large,sparse_unet,0.484794585048816,,130
random,0.1,20260703,large,world_curve_unet,0.5711353492251369,0.08634076417632086,130
random,0.1,20260703,large,world_unet,0.5674496319228114,0.08265504687399539,130
random,0.1,20260703,medium,sparse_unet,0.4839081989643286,,130
random,0.1,20260703,medium,world_curve_unet,0.57007649189956,0.08616829293523143,130
random,0.1,20260703,medium,world_unet,0.5711660083435909,0.08725780937926231,130
random,0.1,20260703,small,sparse_unet,0.3094236618708405,,140
