method,baseline,pattern,ratio,mean_aggregate_dice_delta,min_aggregate_dice_delta,max_aggregate_dice_delta,mean_sample_dice_delta,sample_bootstrap_ci_low,sample_bootstrap_ci_high,num_seeds,num_sample_seed_pairs
world_curve_unet,sparse_unet,random,0.1,0.12886661294892662,0.12726618420544433,0.13161309231628227,0.12587170995936167,0.11493478755719932,0.13599323085585996,3,1200
world_unet,sparse_unet,random,0.1,0.12341676840503048,0.12040395490071387,0.12693742421458876,0.10950946167435205,0.09812514315751075,0.11957370688430517,3,1200
world_curve_unet,sparse_unet,random,0.25,0.09463311529067893,0.08985752537961722,0.09961907955288929,0.10512314185320665,0.09589239308812288,0.11420528077590039,3,1200
world_unet,sparse_unet,random,0.25,0.11724177976396932,0.11264690033167402,0.1211088997994022,0.11764404373259447,0.10906434230666785,0.1274450968874008,3,1200
world_curve_unet,sparse_unet,random,0.5,0.03273608768465527,0.02917950950133008,0.03556298195426977,0.03563431875702406,0.028988880980814993,0.042870743312220114,3,1200
world_unet,sparse_unet,random,0.5,0.0750136902436519,0.07438306176109177,0.0762005042232975,0.06351877681498871,0.057024199710450245,0.07034396110263265,3,1200
world_curve_unet,sparse_unet,random,0.75,0.02190299638446232,0.019766301194028335,0.024080534776701246,0.018600074838475512,0.013441922968063515,0.02365864564866033,3,1200
world_unet,sparse_unet,random,0.75,0.06758706080642829,0.06642573041625588,0.06821001514403957,0.04716809189882775,0.041437272261956454,0.05255108562299047,3,1200
world_curve_unet,sparse_unet,random,0.9,0.021635177800902777,0.020907377743913602,0.022008213787199415,0.01654284509663718,0.012032470515752496,0.021229423034159266,3,1200
world_unet,sparse_unet,random,0.9,0.07001102553733811,0.06921896538155625,0.07049770116403042,0.04532313587566508,0.03953461868166694,0.05041482102810885,3,1200
world_curve_unet,sparse_unet,space_filling,0.1,0.08995239434523523,0.08112377165252616,0.10316911563943598,0.09423147314836461,0.08537493715076035,0.10328128126682726,3,1200
world_unet,sparse_unet,space_filling,0.1,0.09253804557278163,0.08501052696192724,0.10572713862163574,0.08639080917901328,0.07776229530363789,0.09503738894998967,3,1200
world_curve_unet,sparse_unet,space_filling,0.25,0.054035972124717634,0.048364659648634456,0.061210613447485795,0.06024881134633946,0.052327691344455224,0.06835082350987193,3,1200
world_unet,sparse_unet,space_filling,0.25,0.0823371853148099,0.07608373947735758,0.08944668945339085,0.07992910899334824,0.0730018978137204,0.08715426053811978,3,1200
world_curve_unet,sparse_unet,space_filling,0.5,0.027526584727879572,0.02505264033275545,0.02896927656078574,0.02608886988307204,0.020540046346782068,0.03170487455811465,3,1200
world_unet,sparse_unet,space_filling,0.5,0.06784984409368981,0.0656828342919974,0.07087712325195394,0.05301649051290299,0.04727112343062611,0.05854706850305959,3,1200
world_curve_unet,sparse_unet,space_filling,0.75,0.0215181162674839,0.020625552605208597,0.02230312083588215,0.01673170159095505,0.011996517550803866,0.021554909384869935,3,1200
world_unet,sparse_unet,space_filling,0.75,0.06700256490611689,0.06642053143974813,0.06791734418592932,0.04557112869193879,0.03991708006254169,0.05055193893937975,3,1200
world_curve_unet,sparse_unet,space_filling,0.9,0.02042596026574924,0.020148534284439412,0.020566815340560374,0.015354069769850091,0.010781213229357399,0.020060249962207333,3,1200
world_unet,sparse_unet,space_filling,0.9,0.06830471490733118,0.06669425897268277,0.06920355182987925,0.04473324461981381,0.03906152948236744,0.049592500837481394,3,1200
world_curve_unet,sparse_unet,raster_lines,0.1,0.07215669786532992,0.0671268207279628,0.07491847818021458,0.05822668136514468,0.04765656682626736,0.06924555530145807,3,1200
world_unet,sparse_unet,raster_lines,0.1,0.039516580196304385,0.024158988201691517,0.04760950495752861,0.0071791451275773415,-0.003955455079130971,0.018988315776715937,3,1200
world_curve_unet,sparse_unet,raster_lines,0.25,0.07839007790075576,0.07488751589442366,0.08289139707776583,0.08257245449346802,0.07446878619452095,0.09118330104848378,3,1200
world_unet,sparse_unet,raster_lines,0.25,0.06810882052443801,0.056830791486850996,0.07454064042326436,0.058652612706686764,0.04965956452306503,0.06724264090078583,3,1200
world_curve_unet,sparse_unet,raster_lines,0.5,0.027094013639388608,0.022884529054843616,0.02922922088965796,0.024766889859902972,0.01900808376796014,0.03033502819750405,3,1200
world_unet,sparse_unet,raster_lines,0.5,0.064849196346967,0.06097754373298425,0.06761544072689918,0.04902954843707552,0.04264959790760292,0.05469049221106134,3,1200
world_curve_unet,sparse_unet,raster_lines,0.75,0.02414316566063816,0.022252917341462286,0.02650793346485436,0.017843207906753776,0.012997252464352228,0.022634671053419663,3,1200
world_unet,sparse_unet,raster_lines,0.75,0.0702239394159035,0.06658494815839133,0.07204493716710947,0.04656473870012501,0.041071669791776004,0.051537814921260694,3,1200
world_curve_unet,sparse_unet,raster_lines,0.9,0.021963500746978504,0.020402182159038662,0.023007605870779324,0.016990722494517354,0.012310717202522185,0.021960000646555938,3,1200
world_unet,sparse_unet,raster_lines,0.9,0.07061505816309706,0.06789016189786734,0.07287670006552427,0.04619282834553656,0.04042602886979645,0.051234473431637874,3,1200
world_curve_unet,sparse_unet,local_block,0.1,0.08058020615614137,0.06996868287775468,0.09345425416065262,0.06107233821811943,0.050408560129136054,0.07153828133853186,3,1200
world_unet,sparse_unet,local_block,0.1,0.07886725342755992,0.06444628910146435,0.08874854970694607,0.026271103259151794,0.014184967925690559,0.03840027271374686,3,1200
