method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.1,20260701,40,0.800000011920929,0.517463681906342,0.4524578282506061,0.4547722073613156,0.29430755098232525,0.41528709639870853,0.5025546347200569,0.4357518561816162,0.2940745027602031
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,random,0.1,20260701,40,0.550000011920929,0.583062345083009,0.5787427843509985,0.5776811334611044,0.4061544475373848,0.6066801604201624,0.5513279177265392,0.5430984437850923,0.3947190155058557
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,random,0.1,20260701,40,0.3499999940395355,0.6133268986811097,0.581574232150329,0.5824927696863689,0.41092754747888605,0.5902057260775877,0.5749788025491644,0.5581767318382821,0.4077411476053874
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.1,20260702,40,0.824999988079071,0.5134733576853946,0.4463242542998444,0.4505567437892425,0.2907862175547506,0.4185388150353781,0.4878791608544624,0.43262137853039634,0.2912079958377175
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,random,0.1,20260702,40,0.574999988079071,0.5958160956928363,0.5723448148985562,0.5709606986899564,0.3995416348357525,0.6030001399375756,0.5421542080358852,0.5411863798895375,0.39187184682804926
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,random,0.1,20260702,40,0.4000000059604645,0.625204161300526,0.5770925206003947,0.5778229279946868,0.4062946445761067,0.5936860267672301,0.5627854817975438,0.5612556777371283,0.4113792367800733
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.1,20260703,40,0.824999988079071,0.508537462056235,0.4385847014206217,0.44224516534507186,0.28389908059122626,0.4119793289706035,0.4773105221410793,0.4231266864590662,0.2830007830591699
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,random,0.1,20260703,40,0.5,0.5965055142142441,0.5691825895596606,0.5691825895596606,0.3978023928185865,0.5876993663972034,0.5517969967998687,0.5357434825195051,0.3857352244868697
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,random,0.1,20260703,40,0.375,0.6225246406809319,0.5723790062721665,0.5738582576613541,0.402385149122918,0.582580377877483,0.565393452039058,0.5496826414737533,0.397290733370434
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.25,20260701,100,0.824999988079071,0.6436202786555328,0.5804692597983326,0.5902167403162887,0.4186577874734485,0.5822621081711192,0.5983917288914417,0.5656904667063409,0.4145332879879969
