pattern,ratio,seed,area_bin,method,mean_sample_dice,delta_vs_sparse_unet,num_samples
local_block,0.1,20260701,large,sparse_unet,0.22367522242110874,,130
local_block,0.1,20260701,large,world_curve_unet,0.23865139565138924,0.014976173230280498,130
local_block,0.1,20260701,large,world_unet,0.3087826374255754,0.08510741500446664,130
local_block,0.1,20260701,medium,sparse_unet,0.2560659633244683,,130
local_block,0.1,20260701,medium,world_curve_unet,0.19757729041140457,-0.05848867291306373,130
local_block,0.1,20260701,medium,world_unet,0.19039587390902965,-0.06567008941543864,130
local_block,0.1,20260701,small,sparse_unet,0.19759188004025552,,140
local_block,0.1,20260701,small,world_curve_unet,0.11544121097675189,-0.08215066906350363,140
local_block,0.1,20260701,small,world_unet,0.1032560333141105,-0.09433584672614502,140
local_block,0.1,20260702,large,sparse_unet,0.23910888872736502,,130
local_block,0.1,20260702,large,world_curve_unet,0.2780981634504369,0.0389892747230719,130
local_block,0.1,20260702,large,world_unet,0.3249621985260824,0.08585330979871736,130
local_block,0.1,20260702,medium,sparse_unet,0.2478837510431288,,130
local_block,0.1,20260702,medium,world_curve_unet,0.1886209431761478,-0.05926280786698099,130
local_block,0.1,20260702,medium,world_unet,0.18678691558312743,-0.06109683546000136,130
local_block,0.1,20260702,small,sparse_unet,0.2252466519768509,,140
local_block,0.1,20260702,small,world_curve_unet,0.11131825339424777,-0.11392839858260313,140
local_block,0.1,20260702,small,world_unet,0.10059412576983146,-0.12465252620701944,140
local_block,0.1,20260703,large,sparse_unet,0.26437777168076226,,130
local_block,0.1,20260703,large,world_curve_unet,0.2692616044056921,0.004883832724929815,130
local_block,0.1,20260703,large,world_unet,0.31527736878726464,0.05089959710650238,130
local_block,0.1,20260703,medium,sparse_unet,0.2649269392902427,,130
local_block,0.1,20260703,medium,world_curve_unet,0.18913815175027876,-0.07578878753996393,130
local_block,0.1,20260703,medium,world_unet,0.1960286075622222,-0.06889833172802048,130
local_block,0.1,20260703,small,sparse_unet,0.18150937721235824,,140
local_block,0.1,20260703,small,world_curve_unet,0.10264300639371883,-0.07886637081863941,140
local_block,0.1,20260703,small,world_unet,0.10031302867341525,-0.08119634853894299,140
local_block,0.25,20260701,large,sparse_unet,0.4101667977028428,,130
local_block,0.25,20260701,large,world_curve_unet,0.38061328551113205,-0.029553512191710762,130
local_block,0.25,20260701,large,world_unet,0.3524225595587707,-0.05774423814407209,130
local_block,0.25,20260701,medium,sparse_unet,0.41994769235357726,,130
local_block,0.25,20260701,medium,world_curve_unet,0.3211661873176691,-0.09878150503590816,130
local_block,0.25,20260701,medium,world_unet,0.31189694826487946,-0.1080507440886978,130
local_block,0.25,20260701,small,sparse_unet,0.32425081124590105,,140
local_block,0.25,20260701,small,world_curve_unet,0.23587412525694446,-0.0883766859889566,140
local_block,0.25,20260701,small,world_unet,0.2152494639750391,-0.10900134727086194,140
local_block,0.25,20260702,large,sparse_unet,0.43433772435382106,,130
local_block,0.25,20260702,large,world_curve_unet,0.3955163403870649,-0.03882138396675616,130
local_block,0.25,20260702,large,world_unet,0.3335301072325152,-0.10080761712130587,130
local_block,0.25,20260702,medium,sparse_unet,0.4238002463706052,,130
local_block,0.25,20260702,medium,world_curve_unet,0.3220472665839476,-0.1017529797866576,130
local_block,0.25,20260702,medium,world_unet,0.30719783370510934,-0.11660241266549587,130
local_block,0.25,20260702,small,sparse_unet,0.3192808869003789,,140
local_block,0.25,20260702,small,world_curve_unet,0.22674508861510162,-0.0925357982852773,140
local_block,0.25,20260702,small,world_unet,0.21495530622727166,-0.10432558067310727,140
local_block,0.25,20260703,large,sparse_unet,0.43835142569191266,,130
local_block,0.25,20260703,large,world_curve_unet,0.3859052674958843,-0.05244615819602838,130
