method,baseline,pattern,ratio,mean_aggregate_dice_delta,min_aggregate_dice_delta,max_aggregate_dice_delta,mean_sample_dice_delta,sample_bootstrap_ci_low,sample_bootstrap_ci_high,num_seeds,num_sample_seed_pairs
world_curve_unet,sparse_unet,random,0.1,-0.13654690072384681,-0.14067664505307276,-0.13212523613049204,-0.16131094639887625,-0.17043605033059717,-0.15204187504346145,3,1200
world_unet,sparse_unet,random,0.1,-0.12584785317559208,-0.12992877912243228,-0.12139416433689265,-0.13549588798129178,-0.1443924402961751,-0.1274074367846848,3,1200
world_curve_unet,sparse_unet,random,0.25,0.012138831206428632,0.00584012498321973,0.019204530150229715,0.008309310200683689,0.0018391447141940004,0.015693701534744288,3,1200
world_unet,sparse_unet,random,0.25,0.009450125582687577,0.005547762735323536,0.01663014124368445,-0.0017822056457899944,-0.009565749253485455,0.005780815618359357,3,1200
world_curve_unet,sparse_unet,random,0.5,0.04913073373474749,0.04729552668943371,0.050915327459295945,0.05221597320156277,0.04684229302308883,0.05713486454751725,3,1200
world_unet,sparse_unet,random,0.5,0.05378548559761942,0.05214695031831951,0.05517328700175261,0.04476549975900035,0.03870225853954481,0.050981115109668525,3,1200
world_curve_unet,sparse_unet,random,0.75,0.05105839848875023,0.05057188786996247,0.051309372800333986,0.0537088022942471,0.04876866246104318,0.05883065887486109,3,1200
world_unet,sparse_unet,random,0.75,0.06140291630845037,0.060800377049804344,0.062009580072700965,0.05189184270493405,0.04559395301320873,0.058309217719828964,3,1200
world_curve_unet,sparse_unet,random,0.9,0.048838561793739466,0.0481273830019181,0.05005924199083178,0.052155383942146666,0.0473255103588192,0.05706284302626339,3,1200
world_unet,sparse_unet,random,0.9,0.06465622198987649,0.0641682142102471,0.06547618873362981,0.05764202214337282,0.05193213767081755,0.06404479430363941,3,1200
world_curve_unet,sparse_unet,space_filling,0.1,-0.08974766244743027,-0.09628446741172436,-0.083380944323319,-0.11273549803792392,-0.12183361699155874,-0.10382192041366342,3,1200
world_unet,sparse_unet,space_filling,0.1,-0.0873591390673983,-0.09377484411236114,-0.07881736601331812,-0.0999224353288105,-0.10752314239795288,-0.091371775590342,3,1200
world_curve_unet,sparse_unet,space_filling,0.25,0.03419179495653779,0.029600503973439274,0.04006536812785311,0.03708697210076867,0.030707166387894346,0.04364420472682163,3,1200
