sample,fixed_dice,fixed_iou,best_dice,best_iou,gt_positive
sample_0000.npz,0.2331002331002331,0.13192612137203166,0.2331002331002331,0.13192612137203166,639
sample_0001.npz,0.22015503875968992,0.12369337979094076,0.22015503875968992,0.12369337979094076,639
sample_0002.npz,0.23482428115015974,0.1330316742081448,0.23482428115015974,0.1330316742081448,639
sample_0003.npz,0.23471882640586797,0.1329639889196676,0.23471882640586797,0.1329639889196676,639
sample_0004.npz,0.221875,0.12478031634446397,0.221875,0.12478031634446397,639
sample_0005.npz,0.23967611336032388,0.13615455381784727,0.23967611336032388,0.13615455381784727,639
sample_0006.npz,0.24541832669322708,0.13987284287011809,0.24541832669322708,0.13987284287011809,639
sample_0007.npz,0.23177283192632386,0.1310763888888889,0.23177283192632386,0.1310763888888889,639
sample_0008.npz,0.23308270676691728,0.13191489361702127,0.23308270676691728,0.13191489361702127,639
sample_0009.npz,0.23768569194683348,0.13487133984028393,0.23768569194683348,0.13487133984028393,639
sample_0010.npz,0.8448883666274971,0.7314343845371313,0.8448883666274971,0.7314343845371313,1560
sample_0011.npz,0.8730206154765462,0.7746553552492047,0.8730206154765462,0.7746553552492047,1560
sample_0012.npz,0.8705396638159835,0.770757180156658,0.8705396638159835,0.770757180156658,1560
sample_0013.npz,0.8551401869158879,0.746938775510204,0.8551401869158879,0.746938775510204,1560
sample_0014.npz,0.8552089464390819,0.7470437017994859,0.8552089464390819,0.7470437017994859,1560
sample_0015.npz,0.858833974548683,0.7525933609958506,0.858833974548683,0.7525933609958506,1560
sample_0016.npz,0.8684599467927875,0.7675026123301986,0.8684599467927875,0.7675026123301986,1560
sample_0017.npz,0.8687837028160575,0.7680084745762712,0.8687837028160575,0.7680084745762712,1560
sample_0018.npz,0.8627215379993992,0.7585842577918648,0.8627215379993992,0.7585842577918648,1560
sample_0019.npz,0.8694624926166569,0.7690700104493208,0.8694624926166569,0.7690700104493208,1560
sample_0020.npz,0.9046353705343962,0.8258760107816712,0.9046353705343962,0.8258760107816712,1789
sample_0021.npz,0.9113168109883547,0.8370817334064728,0.9113168109883547,0.8370817334064728,1789
sample_0022.npz,0.9186490455212922,0.8495382944052146,0.9186490455212922,0.8495382944052146,1789
sample_0023.npz,0.903397341211226,0.8238146551724138,0.903397341211226,0.8238146551724138,1789
sample_0024.npz,0.9027417027417027,0.8227248816412415,0.9027417027417027,0.8227248816412415,1789
sample_0025.npz,0.8933212450891508,0.807209175314036,0.8933212450891508,0.807209175314036,1789
sample_0026.npz,0.9092526690391459,0.833605220228385,0.9092526690391459,0.833605220228385,1789
sample_0027.npz,0.9164705882352941,0.8458197611292074,0.9164705882352941,0.8458197611292074,1789
sample_0028.npz,0.9189814814814815,0.8501070663811563,0.9189814814814815,0.8501070663811563,1789
sample_0029.npz,0.9030159668835009,0.8231805929919137,0.9030159668835009,0.8231805929919137,1789
sample_0030.npz,0.8342649524874232,0.7156557180532247,0.8342649524874232,0.7156557180532247,4011
sample_0031.npz,0.8269421253714447,0.7049457177322075,0.8269421253714447,0.7049457177322075,4011
sample_0032.npz,0.8348873906182757,0.7165722728392022,0.8348873906182757,0.7165722728392022,4011
sample_0033.npz,0.8356498065625447,0.7176962835343342,0.8356498065625447,0.7176962835343342,4011
sample_0034.npz,0.8335208098987626,0.7145612343297975,0.8335208098987626,0.7145612343297975,4011
sample_0035.npz,0.8143896976483762,0.6868949232585596,0.8143896976483762,0.6868949232585596,4011
sample_0036.npz,0.8194622279129321,0.6941431670281996,0.8194622279129321,0.6941431670281996,4011
sample_0037.npz,0.8155988857938719,0.6886171213546566,0.8155988857938719,0.6886171213546566,4011
sample_0038.npz,0.8064739244708812,0.6757070004636069,0.8064739244708812,0.6757070004636069,4011
sample_0039.npz,0.8442611292845967,0.7304947083435884,0.8442611292845967,0.7304947083435884,4011
sample_0040.npz,0.7330578512396694,0.578604044357469,0.7330578512396694,0.578604044357469,1921
sample_0041.npz,0.7437774524158126,0.5920745920745921,0.7437774524158126,0.5920745920745921,1921
sample_0042.npz,0.7312666803531103,0.5763754045307443,0.7312666803531103,0.5763754045307443,1921
sample_0043.npz,0.7378277153558053,0.5845697329376854,0.7378277153558053,0.5845697329376854,1921
sample_0044.npz,0.7695287282117496,0.6253934942287513,0.7695287282117496,0.6253934942287513,1921
sample_0045.npz,0.7402651201325601,0.5876356461690233,0.7402651201325601,0.5876356461690233,1921
sample_0046.npz,0.7541395933766506,0.6053162853297442,0.7541395933766506,0.6053162853297442,1921
sample_0047.npz,0.7418472543656638,0.5896321070234114,0.7418472543656638,0.5896321070234114,1921
sample_0048.npz,0.7425051334702258,0.5904637491835402,0.7425051334702258,0.5904637491835402,1921
sample_0049.npz,0.733921815889029,0.5796812749003984,0.733921815889029,0.5796812749003984,1921
sample_0050.npz,0.786846937072275,0.6485965877820583,0.786846937072275,0.6485965877820583,2799
sample_0051.npz,0.7982381839742504,0.6642232872850296,0.7982381839742504,0.6642232872850296,2799
sample_0052.npz,0.8010230179028133,0.6680887372013652,0.8010230179028133,0.6680887372013652,2799
sample_0053.npz,0.8024544059996591,0.6700825505266155,0.8024544059996591,0.6700825505266155,2799
sample_0054.npz,0.7946037099494098,0.6592053721320649,0.7946037099494098,0.6592053721320649,2799
sample_0055.npz,0.7942760942760942,0.6587545378385926,0.7942760942760942,0.6587545378385926,2799
sample_0056.npz,0.7991169977924945,0.6654411764705882,0.7991169977924945,0.6654411764705882,2799
sample_0057.npz,0.797902925756807,0.6637591446257738,0.797902925756807,0.6637591446257738,2799
sample_0058.npz,0.800883452259599,0.6678945877018986,0.800883452259599,0.6678945877018986,2799
sample_0059.npz,0.7983706720977597,0.6644067796610169,0.7983706720977597,0.6644067796610169,2799
sample_0060.npz,0.5869424692954105,0.41537053979871913,0.5869424692954105,0.41537053979871913,3402
sample_0061.npz,0.6029764762361978,0.4316151202749141,0.6029764762361978,0.4316151202749141,3402
sample_0062.npz,0.6129394766415155,0.44189814814814815,0.6129394766415155,0.44189814814814815,3402
sample_0063.npz,0.5839486356340289,0.41237814554522784,0.5839486356340289,0.41237814554522784,3402
sample_0064.npz,0.5940466613032984,0.4225223163195239,0.5940466613032984,0.4225223163195239,3402
sample_0065.npz,0.6051364365971108,0.43383199079401613,0.6051364365971108,0.43383199079401613,3402
sample_0066.npz,0.6121861506476891,0.4411154643927172,0.6121861506476891,0.4411154643927172,3402
sample_0067.npz,0.6073281452658884,0.43608847497089637,0.6073281452658884,0.43608847497089637,3402
sample_0068.npz,0.5756255044390638,0.40412511332728923,0.5756255044390638,0.40412511332728923,3402
sample_0069.npz,0.5934775589279948,0.4219467401285583,0.5934775589279948,0.4219467401285583,3402
sample_0070.npz,0.755353666450357,0.6068821689259646,0.755353666450357,0.6068821689259646,1671
sample_0071.npz,0.6949983654789147,0.532565130260521,0.6949983654789147,0.532565130260521,1671
sample_0072.npz,0.7420517862995739,0.5898905680041688,0.7420517862995739,0.5898905680041688,1671
sample_0073.npz,0.7320261437908496,0.5773195876288659,0.7320261437908496,0.5773195876288659,1671
sample_0074.npz,0.767833981841764,0.6231578947368421,0.767833981841764,0.6231578947368421,1671
sample_0075.npz,0.7492586490939045,0.5990516332982087,0.7492586490939045,0.5990516332982087,1671
sample_0076.npz,0.7569850552306693,0.6089911134343963,0.7569850552306693,0.6089911134343963,1671
sample_0077.npz,0.7605177993527508,0.6135770234986945,0.7605177993527508,0.6135770234986945,1671
sample_0078.npz,0.7296849087893864,0.5744125326370757,0.7296849087893864,0.5744125326370757,1671
sample_0079.npz,0.7458724506312723,0.5947341249354672,0.7458724506312723,0.5947341249354672,1671
sample_0080.npz,0.8558139534883721,0.7479674796747967,0.8558139534883721,0.7479674796747967,740
sample_0081.npz,0.8149779735682819,0.6877323420074349,0.8149779735682819,0.6877323420074349,740
sample_0082.npz,0.8184855233853007,0.6927426955702167,0.8184855233853007,0.6927426955702167,740
sample_0083.npz,0.8211699164345404,0.6965973534971645,0.8211699164345404,0.6965973534971645,740
sample_0084.npz,0.8173237090505275,0.6910798122065728,0.8173237090505275,0.6910798122065728,740
sample_0085.npz,0.8015267175572519,0.6687898089171974,0.8015267175572519,0.6687898089171974,740
sample_0086.npz,0.7756813417190775,0.6335616438356164,0.7756813417190775,0.6335616438356164,740
sample_0087.npz,0.8202559821925431,0.6952830188679245,0.8202559821925431,0.6952830188679245,740
sample_0088.npz,0.8197997775305895,0.6946277097078228,0.8197997775305895,0.6946277097078228,740
sample_0089.npz,0.8131868131868132,0.6851851851851852,0.8131868131868132,0.6851851851851852,740
sample_0090.npz,0.6975573649148779,0.5355762673334848,0.6975573649148779,0.5355762673334848,3961
sample_0091.npz,0.7128397917871602,0.5538081330038194,0.7128397917871602,0.5538081330038194,3961
sample_0092.npz,0.7246503496503497,0.5681973954763536,0.7246503496503497,0.5681973954763536,3961
sample_0093.npz,0.7046558126249644,0.5439911797133407,0.7046558126249644,0.5439911797133407,3961
sample_0094.npz,0.7242937853107345,0.5677590788308238,0.7242937853107345,0.5677590788308238,3961
sample_0095.npz,0.7157063468850541,0.5572762468685949,0.7157063468850541,0.5572762468685949,3961
sample_0096.npz,0.7320092112838227,0.5772985244040862,0.7320092112838227,0.5772985244040862,3961
sample_0097.npz,0.7360991068856237,0.5824025529974926,0.7360991068856237,0.5824025529974926,3961
sample_0098.npz,0.7166009636443277,0.5583617747440273,0.7166009636443277,0.5583617747440273,3961
sample_0099.npz,0.7016806722689075,0.540453074433657,0.7016806722689075,0.540453074433657,3961
sample_0100.npz,0.6264542688383749,0.45608548345061245,0.6264542688383749,0.45608548345061245,2433
sample_0101.npz,0.6446717255031342,0.4756572541382668,0.6446717255031342,0.4756572541382668,2433
sample_0102.npz,0.6322977125298737,0.46230654018971545,0.6322977125298737,0.46230654018971545,2433
sample_0103.npz,0.6062124248496994,0.4349388928828181,0.6062124248496994,0.4349388928828181,2433
sample_0104.npz,0.619961274423517,0.449234693877551,0.619961274423517,0.449234693877551,2433
sample_0105.npz,0.6342515765018254,0.46439854191980556,0.6342515765018254,0.46439854191980556,2433
sample_0106.npz,0.6330003699593045,0.46305818673883625,0.6330003699593045,0.46305818673883625,2433
sample_0107.npz,0.6354585152838428,0.46569380440348185,0.6354585152838428,0.46569380440348185,2433
sample_0108.npz,0.6318407960199005,0.4618181818181818,0.6318407960199005,0.4618181818181818,2433
sample_0109.npz,0.6384209630763995,0.4688827793051737,0.6384209630763995,0.4688827793051737,2433
sample_0110.npz,0.7131367292225201,0.5541666666666667,0.7131367292225201,0.5541666666666667,2705
sample_0111.npz,0.7079311791859001,0.5479051640142903,0.7079311791859001,0.5479051640142903,2705
sample_0112.npz,0.7110475801511129,0.5516476552598225,0.7110475801511129,0.5516476552598225,2705
sample_0113.npz,0.6919761953621999,0.5290241606526513,0.6919761953621999,0.5290241606526513,2705
sample_0114.npz,0.6959917780061665,0.5337326607818411,0.6959917780061665,0.5337326607818411,2705
sample_0115.npz,0.7062951496388029,0.5459476707083599,0.7062951496388029,0.5459476707083599,2705
sample_0116.npz,0.6985309331678047,0.536724960254372,0.6985309331678047,0.536724960254372,2705
sample_0117.npz,0.7214461791290058,0.5642673521850899,0.7214461791290058,0.5642673521850899,2705
sample_0118.npz,0.7072667217175888,0.5471095496646439,0.7072667217175888,0.5471095496646439,2705
sample_0119.npz,0.7225217751970137,0.5655844155844156,0.7225217751970137,0.5655844155844156,2705
sample_0120.npz,0.6313337216074548,0.46127659574468083,0.6313337216074548,0.46127659574468083,1898
sample_0121.npz,0.6330383480825958,0.46309883470004315,0.6330383480825958,0.46309883470004315,1898
sample_0122.npz,0.6253618992472496,0.45492839090143217,0.6253618992472496,0.45492839090143217,1898
sample_0123.npz,0.6501987507098239,0.48169962137147665,0.6501987507098239,0.48169962137147665,1898
sample_0124.npz,0.6423611111111112,0.4731457800511509,0.6423611111111112,0.4731457800511509,1898
sample_0125.npz,0.6407151095732411,0.47136190072125583,0.6407151095732411,0.47136190072125583,1898
sample_0126.npz,0.615824050271351,0.444903012794057,0.615824050271351,0.444903012794057,1898
sample_0127.npz,0.631855309218203,0.46183368869936037,0.631855309218203,0.46183368869936037,1898
sample_0128.npz,0.6444833625218914,0.4754521963824289,0.6444833625218914,0.4754521963824289,1898
sample_0129.npz,0.6077446053798404,0.4365180467091295,0.6077446053798404,0.4365180467091295,1898
sample_0130.npz,0.7059843885516045,0.5455764075067024,0.7059843885516045,0.5455764075067024,407
sample_0131.npz,0.7572093023255814,0.6092814371257484,0.7572093023255814,0.6092814371257484,407
sample_0132.npz,0.7235555555555555,0.5668523676880223,0.7235555555555555,0.5668523676880223,407
sample_0133.npz,0.6963216424294268,0.5341207349081365,0.6963216424294268,0.5341207349081365,407
sample_0134.npz,0.720353982300885,0.5629322268326418,0.720353982300885,0.5629322268326418,407
sample_0135.npz,0.7495395948434622,0.5994108983799705,0.7495395948434622,0.5994108983799705,407
sample_0136.npz,0.6904156064461408,0.5272020725388601,0.6904156064461408,0.5272020725388601,407
sample_0137.npz,0.7159190853122251,0.5575342465753425,0.7159190853122251,0.5575342465753425,407
sample_0138.npz,0.7041522491349481,0.5433911882510013,0.7041522491349481,0.5433911882510013,407
sample_0139.npz,0.7379873073436083,0.5847701149425287,0.7379873073436083,0.5847701149425287,407
sample_0140.npz,0.7476350320415014,0.5969785575048733,0.7476350320415014,0.5969785575048733,1568
sample_0141.npz,0.803507632348165,0.6715526601520087,0.803507632348165,0.6715526601520087,1568
sample_0142.npz,0.8091056910569105,0.679410158383397,0.8091056910569105,0.679410158383397,1568
sample_0143.npz,0.8146453089244852,0.6872586872586872,0.8146453089244852,0.6872586872586872,1568
sample_0144.npz,0.806135770234987,0.6752323674138874,0.806135770234987,0.6752323674138874,1568
sample_0145.npz,0.8070634401569653,0.6765350877192983,0.8070634401569653,0.6765350877192983,1568
sample_0146.npz,0.7941082292667307,0.6585236325013276,0.7941082292667307,0.6585236325013276,1568
sample_0147.npz,0.7946171099006729,0.6592238171185539,0.7946171099006729,0.6592238171185539,1568
sample_0148.npz,0.8117073170731708,0.6830870279146142,0.8117073170731708,0.6830870279146142,1568
sample_0149.npz,0.7612307692307693,0.6145057128663686,0.7612307692307693,0.6145057128663686,1568
sample_0150.npz,0.8847631241997439,0.7933409873708381,0.8847631241997439,0.7933409873708381,788
sample_0151.npz,0.877370417193426,0.7815315315315315,0.877370417193426,0.7815315315315315,788
sample_0152.npz,0.8554987212276215,0.7474860335195531,0.8554987212276215,0.7474860335195531,788
sample_0153.npz,0.9056603773584906,0.8275862068965517,0.9056603773584906,0.8275862068965517,788
sample_0154.npz,0.9011553273427471,0.8200934579439252,0.9011553273427471,0.8200934579439252,788
sample_0155.npz,0.8566084788029925,0.7491821155943293,0.8566084788029925,0.7491821155943293,788
sample_0156.npz,0.8653725735754539,0.7626931567328918,0.8653725735754539,0.7626931567328918,788
sample_0157.npz,0.8639281129653402,0.7604519774011299,0.8639281129653402,0.7604519774011299,788
sample_0158.npz,0.8979857050032488,0.8148584905660378,0.8979857050032488,0.8148584905660378,788
