method,split,supports_world_prediction,world_prediction_type,mask_ratio,heldout_latent_mse,heldout_curve_huber,heldout_curve_mse,Fx_mse,Fy_mse,Fz_mse,Mx_mse,My_mse,Mz_mse,sparse_context_ratio,sparse_context_fixed_dice
r128_wrench_temporal_cnn_sparse_unet,test_or_val,True,action_conditioned_curve,0.35,,0.20098305543747388,0.5212878389565062,1.0299101744283605,1.022772004206193,0.9826164708530964,0.028544644392814792,0.035074526580433654,0.028809193504801885,,
r128_wrench_temporal_cnn_sparse_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.1,0.45198527802726784
r128_wrench_temporal_cnn_sparse_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.25,0.580139535795609
r128_wrench_temporal_cnn_sparse_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.5,0.6870303197675962
r128_wrench_temporal_cnn_sparse_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.75,0.7077253233644345
r128_wrench_temporal_cnn_sparse_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.9,0.7111232288273049
r128_wrench_temporal_cnn_world_curve_unet,test_or_val,True,action_conditioned_curve,0.35,,0.06915276229421997,0.15843285998859288,0.3284324487725725,0.3348604943839375,0.285899602282744,0.0006455357686724254,0.0006584002757381465,0.00010067863027988262,,
r128_wrench_temporal_cnn_world_curve_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.1,0.573382980290197
r128_wrench_temporal_cnn_world_curve_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.25,0.6870190863064563
r128_wrench_temporal_cnn_world_curve_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.5,0.7198252107724709
r128_wrench_temporal_cnn_world_curve_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.75,0.7290120101740012
r128_wrench_temporal_cnn_world_curve_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.9,0.7302573607608398
r128_wrench_temporal_cnn_world_unet,test_or_val,True,action_conditioned_curve,0.35,,0.2588988019399044,0.7205524431164538,1.3175039459257984,1.2115737482285593,1.792715058893414,0.000710774910756521,0.0006952255837442639,0.00011590125841207802,,
r128_wrench_temporal_cnn_world_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.1,0.573909964990756
r128_wrench_temporal_cnn_world_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.25,0.7174244046500813
r128_wrench_temporal_cnn_world_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.5,0.7635482529448693
r128_wrench_temporal_cnn_world_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.75,0.7804871823804074
r128_wrench_temporal_cnn_world_unet,test,True,sparse_context_segmentation,,,,,,,,,,,0.9,0.7849042801304339
